,Image,Acc,Dice_Coef,Jaccard,Recall,Precision
29,cju358pwtdby20878cg7nm0np,0.9922637939453125,0.904931558222389,0.8263698630136986,0.9816924328722538,0.839304347826087
30,cju410dnfl0960755y8lu8d79,0.89776611328125,0.6688741721854305,0.5024875621890548,0.5697087051692205,0.8098372426998564
31,cju412uwlkva50850d1ps1ww7,0.96044921875,0.9501500115393491,0.9050340734227302,0.9779097387173397,0.9239228007181328
32,cju414lf2l1lt0801rl3hjllj,0.9297332763671875,0.6647251547142338,0.49781897491821153,0.5903271692745377,0.7605798067310896
33,cju418rckl3ur08012psrx1r1,0.987701416015625,0.9522738038844151,0.9088956708488753,0.9802511276362307,0.9258491652274036
34,cju422cm8lfxn0818ojicxejb,0.988433837890625,0.9371580169126181,0.8817472698907957,0.977347397544527,0.9001433349259437
35,cju424hy5lckr085073fva1ok,0.9872589111328125,0.9403869493824516,0.8874814714997978,0.997425412691201,0.8895191788222583
36,cju426tomlhll0818fc0i7nvh,0.9915618896484375,0.9190455277411799,0.850216684723727,0.9861765629908891,0.8604714912280702
37,cju428k5fldt108177s6g6f45,0.9524383544921875,0.8710758158580469,0.7715981534403166,0.8088800122906744,0.9436329420198942
38,cju42xpi8lw4w0871ve317a1p,0.987640380859375,0.9250693802035153,0.8605851979345955,0.9926543577526306,0.8661008141347653
39,cju430pm2lz0y0755jkhcc3d1,0.9210968017578125,0.7750271916467262,0.6326893024577355,0.6815364603259622,0.8982452601855587
40,cju439oazm2fu0871ma0vvrft,0.884521484375,0.39183542269366756,0.2436538077153708,0.25327238728443796,0.865152590489709
41,cju43b8daly4408170e5ev06g,0.981903076171875,0.9516746801401679,0.9078047263681592,0.9926895613736825,0.913914540616685
42,cju43c92lm5cj0755lorsorfg,0.84503173828125,0.2562975981253661,0.14698471358978665,0.8031206975676916,0.15247887078504835
43,cju43eigtm6ev0801mv0m96t1,0.7649688720703125,0.5786810361333734,0.4071436819214041,0.41193192881342733,0.9722426470588236
44,cju43gfosm63n08714rpih8pe,0.9610443115234375,0.9268669970494715,0.8637018845763708,0.9856820812770365,0.8746756055363322
45,cju43h43am1dy08176gwfhmnt,0.98602294921875,0.7607105538140021,0.6138279932546374,0.9844489519945909,0.6198382290336313
46,cju43in5fm22c08175rxziqrk,0.8732757568359375,0.7030428719562339,0.5420710189677989,0.5520242573979448,0.9678086237448317
47,cju43jcqim2cp08172dvjvyui,0.9929656982421875,0.8767709168671478,0.780580675868634,0.9885473176612417,0.7877041306436119
48,cju43kj2pm34f0850l28ahpni,0.845184326171875,0.0,0.0,0.0,0.0
49,cju43lcnum9y10755bjs7z87f,0.9927825927734375,0.9048098208895149,0.8261668504226387,0.9916188795765328,0.8319763138415989
50,cju43mkj9m8wb0871qiadahub,0.989990234375,0.9457761613489832,0.8971303120589619,0.9634557089929269,0.9287337662337662
51,cju43o6n7m9nk087191ijwqq9,0.9853363037109375,0.9040630927423381,0.8249225724175624,0.9942907334211682,0.8288486179754714
52,cju45jpvfn6c809873pv1i34s,0.97247314453125,0.8822146774614782,0.7892523364485982,0.8873128447596532,0.8771747598026487
53,cju45lbgznahl08180xz1h7u6,0.9426422119140625,0.7478027507547802,0.5971924560651521,0.9888218594748048,0.6012514834394217
54,cju45n0oxn5vu08500yfrt9jn,0.97918701171875,0.8765610859728507,0.7802481069759949,0.8606717611515905,0.893048128342246
55,cju45ofd9ne1j0801ri8dup7t,0.5849151611328125,0.406967365001853,0.25546706078769466,0.2576033559640117,0.9685586800871641
56,cju45pm27n80u08174kyow1gj,0.9614105224609375,0.8138113818744019,0.6860724925521351,0.7092262286667522,0.9545768566493955
57,cju45qbf3n9sa0987oonbkly9,0.98828125,0.9216486431340544,0.8546830652790918,0.9439916405433647,0.900338847917082
58,cju45rj7ln8980850a7821fov,0.980926513671875,0.90465293668955,0.8259052924791086,0.9756498848305364,0.843287827076223
59,cju45t5ddnbio0987qtqzx762,0.9876708984375,0.9463693083764768,0.8981983117046743,0.9872593823570143,0.9087316762268961
60,cju45ty6zn9oz0850qy4qnck1,0.9881591796875,0.944909839557007,0.8955726012649711,0.9760926958052215,0.9156576774903687
